Assembly	final.p_ctg
# contigs (>= 0 bp)	31
# contigs (>= 1000 bp)	31
# contigs (>= 5000 bp)	31
# contigs (>= 10000 bp)	31
# contigs (>= 25000 bp)	30
# contigs (>= 50000 bp)	28
Total length (>= 0 bp)	31389365
Total length (>= 1000 bp)	31389365
Total length (>= 5000 bp)	31389365
Total length (>= 10000 bp)	31389365
Total length (>= 25000 bp)	31376542
Total length (>= 50000 bp)	31289763
# contigs	31
Largest contig	3318780
Total length	31389365
GC (%)	52.32
N50	1594512
N90	886314
auN	1743816.2
L50	8
L90	17
# N's per 100 kbp	0.07
